,Developer,Game Title
1288,Rockstar Leeds,L.A. Noire
1289,Team Bondi,L.A. Noire
1290,THQ Digital Studio Phoenix,MX vs. ATV Alive
1291,THQ Digital Studio Phoenix,MX vs. ATV Alive
1292,Splash Damage,Brink
1293,Haemimont,The First Templar
1294,Atari,Star Raiders
1295,Atari Corporation,Star Raiders
1296,Incinerator Games,Star Raiders
1297,"Art Co., Ltd.",Dream Trigger 3D
1298,Sumo Digital,SEGA Rally Online Arcade
1299,Team Ninja,Dead or Alive: Dimensions
1300,CD Projekt Red Studio,The Witcher 2: Assassins of Kings
1301,Lionhead Studios,Fable III
1302,Big Ant Studios,AFL Live
1303,Wicked Witch Software,AFL Live
1304,Codemasters,DiRT 3
1305,Spiders,Faery: Legends of Avalon
1306,Eutechnyx,NASCAR 2011: The Game
1307,THQ,DreamWorks Kung Fu Panda 2
1308,Griptonite Games,DreamWorks Kung Fu Panda 2
1309,Obsidian Entertainment,Fallout: New Vegas
1310,Traveller's Tales,LEGO Pirates of the Caribbean: The Video Game
1311,Obsidian Entertainment,Fallout: New Vegas
1312,Bedlam Games,Dungeons & Dragons: Daggerdale
1313,Atari SA,Dungeons & Dragons: Daggerdale
1314,Spicy Horse,Alice: Madness Returns
1315,Re-Logic,Terraria
1316,Codeglue,Terraria
1317,Engine Software,Terraria
1318,Codemasters,DiRT 3
1319,Volition Inc.,Red Faction: Armageddon
1320,Volition Inc.,Red Faction: Armageddon
1321,Papaya Studios,Cartoon Network: Punch Time Explosion
1322,InXile Entertainment,Hunted: The Demon's Forge
1323,Codemasters,DiRT 3
1324,InXile Entertainment,Hunted: The Demon's Forge
1325,InXile Entertainment,Hunted: The Demon's Forge
1326,Sucker Punch,inFamous 2
1327,Spicy Horse,Alice: Madness Returns
1328,Q Entertainment,Child of Eden
1329,Gearbox Software,Duke Nukem Forever
1330,3D Realms,Duke Nukem Forever
1331,Obsidian Entertainment,Fallout: New Vegas
1332,Spicy Horse,Alice: Madness Returns
1333,"Seed Studios, Lda",Under Siege
1334,Microids,Red Johnson's Chronicles
1335,Lexis Numerique,Red Johnson's Chronicles
1336,Acquire,Wizardry: Labyrinth of Lost Souls
1337,Gearbox Software,Duke Nukem Forever
1338,3D Realms,Duke Nukem Forever
1339,Behaviour Interactive,Transformers: Dark of the Moon
1340,High Moon Studios,Transformers: Dark of the Moon
1341,Behaviour Interactive,Transformers: Dark of the Moon
1342,High Moon Studios,Transformers: Dark of the Moon
1343,Gearbox Software,Duke Nukem Forever
1344,3D Realms,Duke Nukem Forever
1345,Griptonite Games,Green Lantern: Rise of the Manhunters
1346,Warner Bros. Interactive Entertainment,Green Lantern: Rise of the Manhunters
1347,Double Helix Games,Green Lantern: Rise of the Manhunters
1348,GREZZO,The Legend of Zelda: Ocarina of Time
1349,Nintendo,The Legend of Zelda: Ocarina of Time
1350,Obsidian Entertainment,Dungeon Siege III
1351,Obsidian Entertainment,Dungeon Siege III
1352,Obsidian Entertainment,Dungeon Siege III
1353,Nintendo,Wii Play: Motion
1354,Double Fine Productions,Iron Brigade
1355,Wadjet Eye Games,Gemini Rue
1356,Joshua Nuernberger,Gemini Rue
1357,Grasshopper Manufacture,Shadows of the Damned
1358,Day 1 Studios,F.E.A.R. 3
1359,Grasshopper Manufacture,Shadows of the Damned
1360,Day 1 Studios,F.E.A.R. 3
1361,Day 1 Studios,F.E.A.R. 3
1362,Knockout Games,Outland
1363,Housemarque,Outland
1364,EA Games,The Sims 3
1365,Iron Monkey,The Sims 3
1366,Exient Entertainment,The Sims 3
1367,The Sims Studio,The Sims 3
1368,Maxis,The Sims 3
1369,Electronic Arts,The Sims 3
1370,EA Redwood Shores,The Sims 3
1371,EA Mobile,The Sims 3
1372,Haemimont,The First Templar
1373,Stainless Games,Magic: The Gathering - Duels of the Planeswalkers 2012
1374,Stainless Games,Magic: The Gathering - Duels of the Planeswalkers 2012
1375,Stainless Games,Magic: The Gathering - Duels of the Planeswalkers 2012
1376,Behaviour Interactive,Transformers: Dark of the Moon
1377,High Moon Studios,Transformers: Dark of the Moon
1378,"Final Form Games, LLC",Jamestown: Legend of the Lost Colony
1379,Behaviour Interactive,Transformers: Dark of the Moon
1380,High Moon Studios,Transformers: Dark of the Moon
1381,Firebrand Games,Disney/Pixar Cars 2
1382,Disney Interactive Studios,Disney/Pixar Cars 2
1383,Avalanche Software,Disney/Pixar Cars 2
1384,AQ Interactive,Cubic Ninja
1385,Firebrand Games,Disney/Pixar Cars 2
1386,Disney Interactive Studios,Disney/Pixar Cars 2
1387,Avalanche Software,Disney/Pixar Cars 2
1388,Sanzaru Games,Mystery Case Files: The Malgrave Incident
1389,NaturalMotion,Backbreaker: Vengeance
1390,Capcom,Ultra Street Fighter IV
1391,QLOC,Ultra Street Fighter IV
1392,Other Ocean Interactive,Ultra Street Fighter IV
1393,Capcom,Ultra Street Fighter IV
1394,QLOC,Ultra Street Fighter IV
1395,Other Ocean Interactive,Ultra Street Fighter IV
1396,Telltale Games,Puzzle Agent 2
1397,Capcom,Resident Evil: The Mercenaries 3D
1398,Smudged Cat Games,The Adventures of Shuggy
1399,Namco Bandai Games,Galaga Legions DX
1400,Opus,Half-Minute Hero: Super Mega Neo Climax
1401,Examu,Arcana Heart 3
1402,Level 5,White Knight Chronicles II
1403,Vanguard Games,Gatling Gears
1404,Punchers Impact,Lucha Fury
1405,Full Fat,"Harry Potter and the Deathly Hallows, Part 2"
1406,EA Bright Light,"Harry Potter and the Deathly Hallows, Part 2"
1407,Heatwave Interactive,Gods & Heroes: Rome Rising
1408,Vicious Cycle,Earth Defense Force: Insect Armageddon
1409,"Pipeworks Software, Inc.",Deadliest Warrior: Legends
1410,Vicious Cycle,Earth Defense Force: Insect Armageddon
1411,Candygun Games,Dead Block
1412,Konami,MLB Bobblehead Pros
1413,SimBin,Storm: Frontline Nation
1414,CyberConnect2,Solatorobo: Red the Hunter
1415,Full Fat,"Harry Potter and the Deathly Hallows, Part 2"
1416,EA Bright Light,"Harry Potter and the Deathly Hallows, Part 2"
1417,NinjaBee,Akimi Village
1418,Microsoft Game Studios,Ms. 'Splosion Man
1419,Twisted Pixel Games,Ms. 'Splosion Man
1420,Full Fat,"Harry Potter and the Deathly Hallows, Part 2"
1421,EA Bright Light,"Harry Potter and the Deathly Hallows, Part 2"
1422,Full Fat,"Harry Potter and the Deathly Hallows, Part 2"
1423,EA Bright Light,"Harry Potter and the Deathly Hallows, Part 2"
1424,Supergiant Games,Bastion
1425,EA Sports,NCAA Football 12
1426,EA Sports,NCAA Football 12
1427,Nomad Games,"Warhammer 40,000: Kill Team"
1428,THQ Warrington,"Warhammer 40,000: Kill Team"
1429,Daedalic Entertainment,A New Beginning
1430,Catnip Games,Boulder Dash-XL
1431,The Lordz Games Studio,Panzer Corps
1432,High Voltage Software,Captain America: Super Soldier
1433,Sega Europe,Captain America: Super Soldier
1434,Next Level Games,Captain America: Super Soldier
1435,High Voltage Software,Captain America: Super Soldier
1436,Sega Europe,Captain America: Super Soldier
1437,Next Level Games,Captain America: Super Soldier
1438,ATLUS,Catherine
1439,ATLUS,Catherine
1440,PLAYDEAD,LIMBO
1441,Ubisoft,Call of Juarez: The Cartel
1442,Techland,Call of Juarez: The Cartel
1443,Ubisoft,Call of Juarez: The Cartel
1444,Techland,Call of Juarez: The Cartel
1445,Namco Bandai Games,Pac-Man & Galaga Dimensions
1446,Ubisoft Montpellier,From Dust
1447,Obsidian Entertainment,Fallout: New Vegas
1448,High Voltage Software,Captain America: Super Soldier
1449,Sega Europe,Captain America: Super Soldier
1450,Next Level Games,Captain America: Super Soldier
1451,Candygun Games,Dead Block
1452,Obsidian Entertainment,Fallout: New Vegas
1453,TimeGate Studios,Section 8: Prejudice
1454,BioWare,Dragon Age II
1455,"Pipeworks Software, Inc.",Deadliest Warrior: Legends
1456,BioWare,Dragon Age II
1457,TML Studios,Street Cleaning Simulator
1458,Shadow Planet Productions,Insanely Twisted Shadow Planet
1459,Altron,Phineas and Ferb: Across the 2nd Dimension
1460,High Impact Games,Phineas and Ferb: Across the 2nd Dimension
1461,Virtual Toys,Phineas and Ferb: Across the 2nd Dimension
1462,Altron,Phineas and Ferb: Across the 2nd Dimension
1463,High Impact Games,Phineas and Ferb: Across the 2nd Dimension
1464,Virtual Toys,Phineas and Ferb: Across the 2nd Dimension
1465,PLAYDEAD,LIMBO
1466,Nitro Games,Pirates of Black Cove
1467,Apportable,Frozen Synapse
1468,Mode 7 Games,Frozen Synapse
1469,Racjin,Bleach: Soul Resurreccion
1470,Altron,Phineas and Ferb: Across the 2nd Dimension
1471,High Impact Games,Phineas and Ferb: Across the 2nd Dimension
1472,Virtual Toys,Phineas and Ferb: Across the 2nd Dimension
1473,Nomad Games,"Warhammer 40,000: Kill Team"
1474,THQ Warrington,"Warhammer 40,000: Kill Team"
1475,SCE Japan Studio,PlayStation Move Ape Escape
1476,Streum On Studio,E.Y.E: Divine Cybermancy
1477,Krystian Majewski,Trauma
1478,American Laser Games,Fast Draw Showdown
1479,Digital Leisure Inc.,Fast Draw Showdown
1480,Halfbrick Studios,Fruit Ninja Kinect
1481,Namco Bandai Games,Galaga Legions DX
1482,Volition Inc.,Red Faction: Armageddon
1483,"Pipeworks Software, Inc.",Zumba Fitness: Join the Party
1484,Signal Studios,Toy Soldiers: Cold War
1485,EasyGameStation,Chantelise: A Tale of Two Sisters
1486,P2 Games,International Cricket Captain 2011
1487,Ignition Entertainment,El Shaddai: Ascension of the Metatron
1488,Ignition Entertainment,El Shaddai: Ascension of the Metatron
1489,Two Tribes,Edge
1490,MForma Europe Limited,Edge
1491,Mobigame,Edge
1492,Monster Games Inc.,Xenoblade Chronicles
1493,Monolith Soft,Xenoblade Chronicles
1494,Ubisoft Montpellier,From Dust
1495,Eidos Montreal,Deus Ex: Human Revolution
1496,Nixxes Software,Deus Ex: Human Revolution
1497,Eidos Montreal,Deus Ex: Human Revolution
1498,Nixxes Software,Deus Ex: Human Revolution
1499,Eidos Montreal,Deus Ex: Human Revolution
1500,Nixxes Software,Deus Ex: Human Revolution
1501,Virtuos,Hole in the Wall
1502,HB Studios Multimedia,Rugby World Cup 2011
1503,Ubisoft Reflections,Driver: San Francisco
1504,Ubisoft Reflections,Driver: San Francisco
1505,EA Tiburon,Madden NFL 12
1506,EA Tiburon,Madden NFL 12
1507,HB Studios Multimedia,Rugby World Cup 2011
1508,THQ,UFC Personal Trainer: The Ultimate Fitness System
1509,Techland,Dead Island
1510,Techland,Dead Island
1511,Techland,Dead Island
1512,Sega,Rise of Nightmares
1513,Insomniac Games,Resistance 3
1514,Le Cortex,We Dance
1515,Certain Affinity,Crimson Alliance
1516,Straandlooper,Hector: Badge of Carnage
1517,Telltale Games,Hector: Badge of Carnage
1518,Relic,"Warhammer 40,000: Space Marine"
1519,Relic,"Warhammer 40,000: Space Marine"
1520,Relic,"Warhammer 40,000: Space Marine"
1521,Abstraction,BloodRayne: Betrayal
1522,WayForward,BloodRayne: Betrayal
1523,Nintendo,Star Fox 64
1524,Spiderweb Software,Avadon: The Black Fortress
1525,Abstraction,BloodRayne: Betrayal
1526,WayForward,BloodRayne: Betrayal
1527,Ubisoft,Driver: Renegade
1528,Flying Wild Hog,Hard Reset
1529,Digital Reality,SkyDrift
1530,Twisted Pixel Games,The Gunstringer
1531,Best Way,Men of War: Vietnam
1532,Codemasters,F1 2011
1533,Digital Reality,SkyDrift
1534,Epic Games,Gears of War 3
1535,Ubisoft,Call of Juarez: The Cartel
1536,Techland,Call of Juarez: The Cartel
1537,Nippon Ichi Software,Disgaea 4: A Promise Unforgotten
1538,TOSE,Dragon Quest Monsters: Joker 2
1539,Treasure,Radiant Silvergun
1540,Konami,Leedmees
1541,HAL Labs,Kirby: Mass Attack
1542,Electronic Arts,Tiger Woods PGA Tour 12: The Masters
1543,Nadeo,TrackMania 2 Canyon
1544,Criterion Games,Burnout Crash!
1545,Electronic Arts,NHL 12
1546,Criterion Games,Burnout Crash!
1547,Codemasters,F1 2011
1548,Gaijin Games,Bit.Trip Complete / THE BIT.TRIP
1549,Choice Provisions,Bit.Trip Complete / THE BIT.TRIP
1550,Avalanche Studios,Renegade Ops
1551,Avalanche Studios,Renegade Ops
1552,Codemasters,F1 2011
1553,Gaijin Games,Bit.Trip Complete / THE BIT.TRIP
1554,Choice Provisions,Bit.Trip Complete / THE BIT.TRIP
1555,Q Entertainment,Child of Eden
1556,Dancing Dots,Rotastic
1557,Electronic Arts,NHL 12
1558,EA Sports,FIFA Soccer 12
1559,Electronic Arts,FIFA Soccer 12
1560,EA Canada,FIFA Soccer 12
1561,System Prisma,ClaDun x2
1562,EA Sports,FIFA Soccer 12
1563,Electronic Arts,FIFA Soccer 12
1564,EA Canada,FIFA Soccer 12
1565,Marvelous,Harvest Moon: The Tale of Two Towns
1566,Konami,Pro Evolution Soccer 2012
1567,Konami,Pro Evolution Soccer 2012
1568,Out Of The Park Developments,Out of the Park Baseball 12
1569,Silicon Knights,X-Men: Destiny
1570,Silicon Knights,X-Men: Destiny
1571,From Software,Dark Souls
1572,Silicon Knights,X-Men: Destiny
1573,From Software,Dark Souls
1574,UTV Ignition Games,Mercury Hg
1575,UTV Ignition Games,Mercury Hg
1576,id Software,Rage
1577,id Software,Rage
1578,EA Sports,NBA JAM: On Fire Edition
1579,EA Sports,NBA JAM: On Fire Edition
1580,Omni Systems Limited,Eufloria
1581,Alex May,Eufloria
1582,Rudolf Kremers,Eufloria
1583,Recoil Games,Rochard
1584,Visual Concepts,NBA 2K12
1585,Virtuos,NBA 2K12
1586,id Software,Rage
1587,Visual Concepts,NBA 2K12
1588,Virtuos,NBA 2K12
1589,Turn 10,Forza Motorsport 4
1590,Visual Concepts,NBA 2K12
1591,Virtuos,NBA 2K12
1592,Straandlooper,Hector: Badge of Carnage
1593,Telltale Games,Hector: Badge of Carnage
1594,Beenox,Spider-Man: Edge of Time
1595,Hudson Soft,Deca Sports Extreme
1596,Beenox,Spider-Man: Edge of Time
1597,EA Sports,FIFA Soccer 12
1598,Electronic Arts,FIFA Soccer 12
1599,EA Canada,FIFA Soccer 12
1600,Project Aces ,Ace Combat: Assault Horizon
1601,Project Aces ,Ace Combat: Assault Horizon
1602,Team 17,Worms Ultimate Mayhem
1603,Robot Entertainment,Orcs Must Die!
1604,Crytek,Crysis
1605,Crytek,Crysis
1606,Hudson Soft,Tetris Axis
1607,Kylotonn,The Cursed Crusade
1608,Ubisoft,Just Dance 3
1609,Capcom Vancouver,Dead Rising 2: Off the Record
1610,Capcom,Dead Rising 2: Off the Record
1611,Capcom Vancouver,Dead Rising 2: Off the Record
1612,Capcom,Dead Rising 2: Off the Record
1613,Farsight Studios,Brunswick Pro Bowling (2009)
1614,Kylotonn,The Cursed Crusade
1615,Robot Entertainment,Orcs Must Die!
1616,BioWare,Dragon Age II
1617,Interwave Studios,Nuclear Dawn
1618,Milestone S.r.l,WRC 2: FIA World Rally Championship 2011
1619,Feral Interactive,Batman: Arkham City
1620,Rocksteady Studios,Batman: Arkham City
1621,WB Games Montreal,Batman: Arkham City
1622,Sidhe Interactive,Rugby Challenge
1623,Konami,Castlevania: Harmony of Despair
1624,Feral Interactive,Batman: Arkham City
1625,Rocksteady Studios,Batman: Arkham City
1626,WB Games Montreal,Batman: Arkham City
1627,Milestone S.r.l,WRC 2: FIA World Rally Championship 2011
1628,Sports Interactive,Football Manager 2012
1629,Obsidian Entertainment,Fallout: New Vegas
1630,Ubisoft,Just Dance 3
1631,Vicarious Visions,Skylanders: Spyro's Adventure
1632,Toys for Bob,Skylanders: Spyro's Adventure
1633,Insomniac Games,Ratchet & Clank: All 4 One
1634,Namco Bandai Games,Go Vacation
1635,HandCircus,Okabu
1636,Playbrains,Sideway: New York
1637,Fuel Industries,Sideway: New York
1638,Double Fine Productions,Sesame Street: Once Upon a Monster
1639,Harmonix Music Systems,Dance Central 2
1640,Code Mystics Inc.,Rocketbirds: Hardboiled Chicken
1641,Ratloop Asia Pte Ltd,Rocketbirds: Hardboiled Chicken
1642,Sidhe Interactive,Rugby Challenge
1643,Cyanide,A Game of Thrones: Genesis
1644,Tripwire Interactive,Red Orchestra 2: Heroes of Stalingrad
1645,Ubisoft,Rocksmith
1646,Ubisoft,Rocksmith
1647,Naughty Dog,Uncharted 3: Drake's Deception
1648,HAL Labs,Kirby's Return to Dream Land
1649,Ubisoft Montpellier,The Adventures of Tintin: The Game
1650,Wargaming.net,World of Tanks
1651,Level 5,Professor Layton and the Last Specter
1652,Rare Ltd.,Kinect Sports: Season Two
1653,BigPark,Kinect Sports: Season Two
1654,EA DICE,Battlefield 3
1655,Eidos Montreal,Deus Ex: Human Revolution
1656,Nixxes Software,Deus Ex: Human Revolution
1657,ValuSoft,The Haunted: Hell's Reach
1658,EA DICE,Battlefield 3
1659,EA DICE,Battlefield 3
1660,Sucker Punch,inFamous: Festival of Blood
1661,Eurocom Entertainment Software,Disney Universe
1662,Spike,Dragon Ball Z: Ultimate Tenkaichi
1663,Ambrella,Pokemon Rumble Blast
1664,Neverland,Rune Factory: Tides of Destiny
1665,Spike,Dragon Ball Z: Ultimate Tenkaichi
1666,Eurocom Entertainment Software,GoldenEye 007: Reloaded
1667,Eurocom Entertainment Software,GoldenEye 007: Reloaded
1668,Overkill Software,Payday: The Heist
1669,Snowblind Studios,The Lord of the Rings: War in the North
1670,Snowblind Studios,The Lord of the Rings: War in the North
1671,Overkill Software,Payday: The Heist
1672,Trendy Entertainment,Dungeon Defenders
1673,Feral Interactive,Batman: Arkham City
1674,Rocksteady Studios,Batman: Arkham City
1675,WB Games Montreal,Batman: Arkham City
1676,Racjin,Naruto Shippuden: Ultimate Ninja Impact
1677,Trendy Entertainment,Dungeon Defenders
1678,Monte Cristo Multimedia,Cities XL 2012
1679,Aspyr,Call of Duty: Modern Warfare 3
1680,Infinity Ward,Call of Duty: Modern Warfare 3
1681,Sledgehammer Games,Call of Duty: Modern Warfare 3
1682,Treyarch,Call of Duty: Modern Warfare 3
1683,Ubisoft Montpellier,The Adventures of Tintin: The Game
1684,Ubisoft Vancouver,MotionSports Adrenaline
1685,Nintendo,Super Mario 3D Land
1686,Bethesda Game Studios,The Elder Scrolls V: Skyrim
1687,Bethesda Game Studios,The Elder Scrolls V: Skyrim
1688,Aspyr,Call of Duty: Modern Warfare 3
1689,Infinity Ward,Call of Duty: Modern Warfare 3
1690,Sledgehammer Games,Call of Duty: Modern Warfare 3
1691,Treyarch,Call of Duty: Modern Warfare 3
1692,MonkeyPaw Games,BurgerTime World Tour
1693,Q Games,PixelJunk SideScroller
1694,Ubisoft Montreal,Assassin's Creed: Revelations
1695,Dimps Corporation,Sonic Generations
1696,Sega,Sonic Generations
1697,Sonic Team,Sonic Generations
1698,Ubisoft Montreal,Assassin's Creed: Revelations
1699,Volition Inc.,Saints Row: The Third
1700,Sega,Sonic Generations
1701,Dimps Corporation,Sonic Generations
1702,Sonic Team,Sonic Generations
1703,Other Ocean Interactive,The War of the Worlds
1704,Capcom,Ultimate Marvel vs. Capcom 3
1705,Capcom,Ultimate Marvel vs. Capcom 3
1706,Bethesda Game Studios,The Elder Scrolls V: Skyrim
1707,Volition Inc.,Saints Row: The Third
1708,UBlart Montpellier,Rayman Origins
1709,UBlart Montpellier,Rayman Origins
1710,Nintendo,The Legend of Zelda: Skyward Sword
1711,UBlart Montpellier,Rayman Origins
1712,Firebrand Games,Need for Speed: The Run
1713,Black Box,Need for Speed: The Run
1714,Zombie Studios,Blackwater
1715,Westlake Interactive,Halo: Combat Evolved
1716,Gearbox Software,Halo: Combat Evolved
1717,Bungie Software,Halo: Combat Evolved
1718,343 Industries,Halo: Combat Evolved
1719,Firebrand Games,Need for Speed: The Run
1720,Black Box,Need for Speed: The Run
1721,Ubisoft,NCIS
1722,Gearbox Software,Aliens: Infestation
1723,WayForward,Aliens: Infestation
1724,Ubisoft,Raving Rabbids: Alive & Kicking
1725,Edmund McMillen,The Binding of Isaac
1726,Florian Himsl,The Binding of Isaac
1727,Griptonite Games,Shinobi (2011)
1728,Telltale Games,Jurassic Park: The Game
1729,Telltale Games,Jurassic Park: The Game
1730,FireFly Studios,Stronghold 3
1731,MonkeyPaw Games,BurgerTime World Tour
1732,Zindagi Games,Medieval Moves: Deadmund's Quest
1733,Freebird Games,To the Moon
1734,Iridium Studios,Before the Echo
1735,SNK Playmore,The King of Fighters XIII
1736,Rockstar Leeds,L.A. Noire
1737,Team Bondi,L.A. Noire
1738,SNK Playmore,The King of Fighters XIII
1739,WXP,Xotic
1740,WXP,Xotic
1741,Bandai Namco Games,Tales of the Abyss
1742,Namco,Tales of the Abyss
1743,Sega Sports R&D,Mario & Sonic at the London 2012 Olympic Games
1744,Notch,Minecraft
1745,Mojang AB,Minecraft
1746,4J Studios,Minecraft
1747,Rampant Games,Frayed Knights: The Skull of S'makh-Daon
1748,Traveller's Tales,LEGO Harry Potter: Years 5-7
1749,Warner Bros. Interactive Entertainment,LEGO Harry Potter: Years 5-7
1750,Traveller's Tales,LEGO Harry Potter: Years 5-7
1751,Warner Bros. Interactive Entertainment,LEGO Harry Potter: Years 5-7
1752,Ubisoft,James Noir's Hollywood Crimes
1753,Nicalis,Cave Story
1754,Pixel Studios,Cave Story
1755,The Sims Studio,The Sims 3: Pets (2011)
1756,Namco Bandai Games,Tekken Hybrid
1757,Black Hole Games,Might & Magic: Heroes VI
1758,Limbic Entertainment,Might & Magic: Heroes VI
1759,Virtuos,Might & Magic: Heroes VI
1760,Feral Interactive,Batman: Arkham City
1761,Rocksteady Studios,Batman: Arkham City
1762,WB Games Montreal,Batman: Arkham City
1763,5pb,Corpse Party
1764,Mages.,Corpse Party
1765,Team GrisGris,Corpse Party
1766,Chair Entertainment,Infinity Blade II
1767,EA Games,The Sims 3
1768,Iron Monkey,The Sims 3
1769,Exient Entertainment,The Sims 3
1770,The Sims Studio,The Sims 3
1771,Maxis,The Sims 3
1772,Electronic Arts,The Sims 3
1773,EA Redwood Shores,The Sims 3
1774,EA Mobile,The Sims 3
1775,Retro Studios,Mario Kart 7
1776,Entertainment Analysis & Development Division,Mario Kart 7
1777,Ubisoft Montreal,Assassin's Creed: Revelations
1778,KING Art,The Book of Unwritten Tales
1779,Volition Inc.,Saints Row: The Third
1780,Sarbakan Inc.,Scene It? Movie Night
1781,Sarbakan Inc.,Scene It? Movie Night
1782,Image Epoch,Fate/Extra
1783,Snap Dragon Games,The Kore Gang
1784,Behaviour Interactive,Voltron
1785,Marvelous AQL,Fortune Street
1786,Prope,Fishing Resort
1787,Nicolas Intoxicate,Afterfall: InSanity
1788,Croteam,Serious Sam 3: BFE
1789,Yuke's,WWE '12
1790,n-Space,Call of Duty: Modern Warfare 3 - Defiance
1791,"Frozenbyte, Inc.",Trine 2
1792,RED Entertainment,Fossil Fighters: Champions
1793,Artdink,Fossil Fighters: Champions
1794,Kerberos Productions,Sword of the Stars II: Lords of Winter
1795,Frontier Developments,Kinect: Disneyland Adventures
1796,Epic Games,Gears of War 3
1797,Virtual Air Guitar Company,Kung-Fu High Impact
1798,SVG Distribution,Oregon Trail
1799,Related Designs,Anno 2070
1800,Blue Byte,Anno 2070
1801,Astro Port,SATAZIUS
1802,War Drum Studios,Grand Theft Auto III
1803,Rockstar North,Grand Theft Auto III
1804,DMA Design,Grand Theft Auto III
1805,Rockstar Vienna,Grand Theft Auto III
1806,49Games,Winter Stars
1807,Sega,Sonic CD
1808,Sonic Team,Sonic CD
1809,Doublesix,All Zombies Must Die!
1810,EKO Software,Wanted Corp
1811,Toxic Games,Q.U.B.E.
1812,Papaya Studios,Cartoon Network: Punch Time Explosion
1813,Papaya Studios,Cartoon Network: Punch Time Explosion
1814,Papaya Studios,Cartoon Network: Punch Time Explosion
1815,Team6 Game Studios,FlatOut 3: Chaos & Destruction
1816,"Frozenbyte, Inc.",Trine 2
1817,Silent Dreams,Grotesque Tactics 2: Dungeons & Donuts
1818,Sega,Sonic CD
1819,Sonic Team,Sonic CD
1820,Cipher Prime,Fractal: Make Blooms Not War
1821,BioWare,Star Wars: The Old Republic
1822,LucasArts,Star Wars: The Old Republic
1823,Intelligent Systems,Pushmo
1824,Keen Games,TNT Racers
1825,SevenOne Intermedia,I Heart Geeks!
1826,Running With Scissors,Postal III
1827,InXile Entertainment,Choplifter HD
1828,Perfect World Beijing,War of the Immortals
1829,WayForward,Mighty Switch Force!
1830,Lexis Numerique,AMY
1831,VectorCell,AMY
1832,Hitbox ,Dustforce
1833,QLOC,Dustforce
1834,Lexis Numerique,AMY
1835,VectorCell,AMY
1836,EA Tiburon,NFL Blitz (2012)
1837,Futuremark Games Studio,Unstoppable Gorg
1838,Sony Bend,Uncharted: Golden Abyss
1839,Naughty Dog,Uncharted: Golden Abyss
1840,TikGames,Scarygirl
1841,Volition Inc.,Saints Row: The Third
1842,Volition Inc.,Saints Row: The Third
1843,Denki,Quarrel
1844,NanaOn-Sha,Haunt
1845,Capcom,Resident Evil: Revelations
1846,Crocodile Entertainment,Zack Zero
1847,Volition Inc.,Saints Row: The Third
1848,Square Enix,Final Fantasy XIII-2
1849,Square Enix,Final Fantasy XIII-2
1850,Project Soul,SoulCalibur V
1851,Project Soul,SoulCalibur V
1852,Goodbye Galaxy Games,Flipper 2: Flush the Goldfish
1853,Rebellion,NeverDead
1854,Neko Entertainment,Puddle
1855,Rebellion,NeverDead
1856,Aspyr,Call of Duty: Modern Warfare 3
1857,Infinity Ward,Call of Duty: Modern Warfare 3
1858,Sledgehammer Games,Call of Duty: Modern Warfare 3
1859,Treyarch,Call of Duty: Modern Warfare 3
1860,Neko Entertainment,Puddle
1861,Digital Extremes,The Darkness II
1862,"Unigine Corp, Russia",Oil Rush
1863,Big Huge Games,Kingdoms of Amalur: Reckoning
1864,Grounding Inc.,Sakura Samurai: Art of the Sword
1865,Studio Liverpool,WipEout 2048
1866,Big Huge Games,Kingdoms of Amalur: Reckoning
1867,Double Fine Productions,Double Fine Happy Action Theater
1868,Konami,The Simpsons Arcade Game
1869,Electronic Arts Nederland BV,The Simpsons Arcade Game
1870,Novotrade,The Simpsons Arcade Game
1871,Iron Monkey,The Simpsons Arcade Game
1872,EA Mobile,The Simpsons Arcade Game
1873,Bandai Namco Games,One Piece: Unlimited Cruise SP
1874,Digital Extremes,The Darkness II
1875,Digital Extremes,The Darkness II
1876,The Chinese Room,Dear Esther
1877,Telltale Games,Law & Order: Legacies
1878,EA Sports,Grand Slam Tennis 2
1879,Big Huge Games,Kingdoms of Amalur: Reckoning
1880,EA Sports,Grand Slam Tennis 2
1881,Electronic Arts,FIFA Soccer (2012)
1882,Nintendo,Rhythm Heaven Fever
1883,Monolith Productions,Gotham City Impostors
1884,Yuke's,UFC Undisputed 3
1885,Klei Entertainment,Shank 2
1886,Renegade Kid,Mutant Mudds
1887,Bigbig Studios,Little Deviants
1888,Monolith Productions,Gotham City Impostors
1889,Monolith Productions,Gotham City Impostors
1890,NeocoreGames,King Arthur II: The Role-Playing Wargame
1891,Yuke's,UFC Undisputed 3
1892,Klei Entertainment,Shank 2
1893,Arika,Tekken 3D Prime Edition
1894,Eat Sleep Play,Twisted Metal (2012)
1895,SCEA,ModNation Racers: Road Trip
1896,Clap Hanz,Hot Shots Golf: World Invitational
1897,Gameloft,Dungeon Hunter: Alliance
1898,Ubisoft,Dungeon Hunter: Alliance
1899,Paradox Development Studio,Crusader Kings II
1900,Paradox Interactive,Crusader Kings II
1901,Bandai Namco Games,Touch My Katamari
1902,XDEV,Super Stardust Delta
1903,Starbreeze,Syndicate (2012)
1904,Koei,Dynasty Warriors Next
1905,Trapdoor,Warp
1906,Starbreeze,Syndicate (2012)
1907,Q Entertainment,Lumines: Electronic Symphony
1908,Namco Bandai Games,Ridge Racer (2012)
