,Developer,Game Title
355,Genki,Metal Gear Solid: Peace Walker
356,Kojima Productions,Metal Gear Solid: Peace Walker
357,n-Space,Disney/Pixar Toy Story 3
358,Disney Interactive Studios,Disney/Pixar Toy Story 3
359,Avalanche Software,Disney/Pixar Toy Story 3
360,Asobo Studio,Disney/Pixar Toy Story 3
361,United Front Games,ModNation Racers
362,SCEA San Diego Studios,ModNation Racers
363,Electronic Arts,Tiger Woods PGA Tour 11
364,EA Sports,Tiger Woods PGA Tour 11
365,Electronic Arts,Tiger Woods PGA Tour 11
366,EA Sports,Tiger Woods PGA Tour 11
367,From Software,Armored Core: Last Raven Portable
368,Electronic Arts,Tiger Woods PGA Tour 11
369,EA Sports,Tiger Woods PGA Tour 11
370,Nintendo,Jam with the Band
371,Hello Games,Joe Danger
372,Demiurge Studios,Green Day: Rock Band
373,Harmonix Music Systems,Green Day: Rock Band
374,Harmonix Music Systems,Green Day: Rock Band
375,Demiurge Studios,Green Day: Rock Band
376,n-Space,Disney/Pixar Toy Story 3
377,Disney Interactive Studios,Disney/Pixar Toy Story 3
378,Avalanche Software,Disney/Pixar Toy Story 3
379,Asobo Studio,Disney/Pixar Toy Story 3
380,TT Fusion,LEGO Harry Potter: Years 1-4
381,Traveller's Tales,LEGO Harry Potter: Years 1-4
382,TT Fusion,LEGO Harry Potter: Years 1-4
383,Traveller's Tales,LEGO Harry Potter: Years 1-4
384,505 Games,Naughty Bear
385,Artificial Mind and Movement,Naughty Bear
386,Vicarious Visions,Transformers: War for Cybertron
387,High Moon Studios,Transformers: War for Cybertron
388,Next Level Games,Transformers: War for Cybertron
389,Vicarious Visions,Transformers: War for Cybertron
390,High Moon Studios,Transformers: War for Cybertron
391,Next Level Games,Transformers: War for Cybertron
392,TT Fusion,LEGO Harry Potter: Years 1-4
393,Traveller's Tales,LEGO Harry Potter: Years 1-4
394,Stainless Games,RISK: Factions
395,Gameloft,Earthworm Jim HD
396,Raven Software,Singularity
397,Gust,Trinity Universe
398,Idea Factory,Trinity Universe
399,Raven Software,Singularity
400,Koei,Monster Racers
401,Infinite Interactive,Puzzle Quest 2
402,BioWare,Mass Effect 2
403,Strawdog Studios,Space Ark
404,Telltale Games,Tales of Monkey Island
405,BioWare,Mass Effect 2
406,Raven Software,Singularity
407,505 Games,Naughty Bear
408,Artificial Mind and Movement,Naughty Bear
409,TT Fusion,LEGO Harry Potter: Years 1-4
410,Traveller's Tales,LEGO Harry Potter: Years 1-4
411,Telltale Games,Puzzle Agent
412,Infinite Interactive,Puzzle Quest 2
413,Ubisoft Vancouver,Pure Futbol
414,Muzzy Lane Software,Making History II: The War of the World
415,Mamba Games,Making History II: The War of the World
416,Clap Hanz,Hot Shots Tennis: Get a Grip
417,Kojima Productions,Metal Gear Solid: Touch
418,Mountain Sheep,Minigore
419,Electronic Arts,Need for Speed Shift
420,Electronic Arts Nederland BV,Need for Speed Shift
421,EA Mobile,Need for Speed Shift
422,Gameloft,N.O.V.A. - Near Orbit Vanguard Alliance
423,Ruffian Games,Crackdown 2
424,Chillingo Ltd,Ravensword: The Fallen King
425,Lupis Labs,Robo Defense
426,EA Games,The Sims 3
427,Iron Monkey,The Sims 3
428,Exient Entertainment,The Sims 3
429,The Sims Studio,The Sims 3
430,Electronic Arts,The Sims 3
431,Maxis,The Sims 3
432,EA Redwood Shores,The Sims 3
433,EA Mobile,The Sims 3
434,Gameloft,Spider-Man Toxic City
435,Konami,The Simpsons Arcade Game
436,Electronic Arts Nederland BV,The Simpsons Arcade Game
437,Novotrade,The Simpsons Arcade Game
438,Iron Monkey,The Simpsons Arcade Game
439,EA Mobile,The Simpsons Arcade Game
440,Glu Mobile,World Series of Poker Hold'em Legend
441,InspiringApps,Wumpus
442,Gameloft,Zombie Infection
443,Ubisoft Vancouver,Pure Futbol
444,"Tetris Online, Inc",Tetris Party Deluxe
445,"Tetris Online, Inc",Tetris Party Deluxe
446,Game Republic,Dragon Ball: Origins 2
447,Codemasters,International Cricket 2010
448,Tri-Crescendo,Blue Dragon: Awakened Shadow
449,Vicarious Visions,Transformers: War for Cybertron
450,High Moon Studios,Transformers: War for Cybertron
451,Next Level Games,Transformers: War for Cybertron
452,Funcom,Age of Conan: Hyborian Adventures
453,City Interactive,Sniper: Ghost Warrior
454,Realtime Worlds,APB
455,High Voltage Software,Tournament of Legends
456,LucasArts,Monkey Island 2: LeChuck's Revenge
457,LucasArts,Monkey Island 2: LeChuck's Revenge
458,LucasArts,Monkey Island 2: LeChuck's Revenge
459,FeelPlus,N3II: Ninety-Nine Nights
460,Phantagram,N3II: Ninety-Nine Nights
461,EA Tiburon,NCAA Football 11
462,EA Tiburon,NCAA Football 11
463,Codemasters,International Cricket 2010
464,Bacon Wrapped Games,Ancients of Ooga
465,NinjaBee,Ancients of Ooga
466,BioWare,Dragon Age: Origins
467,Cave,DeathSmiles
468,Level 5,Dragon Quest IX: Sentinels of the Starry Skies
469,Bohemia Interactive,ArmA II: Operation Arrowhead
470,Zombie Studios,Blacklight: Tango Down
471,Hothead Games,DeathSpank
472,Hothead Games,DeathSpank
473,The Bearded Ladies Consulting,Landit Bandit
474,City Interactive,Sniper: Ghost Warrior
475,"Pipeworks Software, Inc.",Deadliest Warrior: The Game
476,PLAYDEAD,LIMBO
477,ATLUS,Shin Megami Tensei: Persona 3 Portable
478,Gaming Minds Studios,DarkStar One: Broken Alliance
479,Longtail Studios,Dance on Broadway
480,Now Production,Little League World Series Baseball 2010
481,Now Production,Little League World Series Baseball 2010
482,Ubisoft Casablanca,Prince of Persia: The Forgotten Sands
483,Gameloft,Prince of Persia: The Forgotten Sands
484,Ubisoft Montreal,Prince of Persia: The Forgotten Sands
485,Ubisoft Quebec,Prince of Persia: The Forgotten Sands
486,Sonic Boom,Rhythm Zone (2010)
487,TT Fusion,LEGO Harry Potter: Years 1-4
488,Traveller's Tales,LEGO Harry Potter: Years 1-4
489,Exozet Games GmbH,Catan
490,USM,Catan
491,Suzak,Catan
492,Crea-Tech,Catan
493,Game Republic,Catan
494,Big Huge Games,Catan
495,TT Fusion,LEGO Harry Potter: Years 1-4
496,Traveller's Tales,LEGO Harry Potter: Years 1-4
497,Binary Takeover,Turba
498,Zombie Studios,Blacklight: Tango Down
499,Gaijin Entertainment,Death Track: Resurrection (2010)
500,Vector Unit Inc.,Hydro Thunder Hurricane
501,Glu Games Inc.,Clash of the Titans
502,Game Republic,Clash of the Titans
503,Remedy Entertainment,Alan Wake
504,Creatures Inc.,PokePark Wii: Pikachu's Adventure
505,Arc System Works,BlazBlue: Continuum Shift
506,WayForward,Despicable Me: Minion Mayhem
507,Monkey Bar Games,Despicable Me: Minion Mayhem
508,Glu Games Inc.,Clash of the Titans
509,Game Republic,Clash of the Titans
510,Arc System Works,BlazBlue: Continuum Shift
511,Ubisoft Casablanca,Prince of Persia: The Forgotten Sands
512,Gameloft,Prince of Persia: The Forgotten Sands
513,Ubisoft Montreal,Prince of Persia: The Forgotten Sands
514,Ubisoft Quebec,Prince of Persia: The Forgotten Sands
515,Activision,Little League World Series Baseball: Double Play
516,Blizzard Entertainment,Starcraft II: Wings of Liberty
517,Konami,Castlevania: Harmony of Despair
518,Akella,Disciples III: Renaissance
519,Choose Multiple LLC,Alter Ego
520,"Viva Media, LLC",Alter Ego
521,Just Add Water,Gravity Crash
522,Electronic Arts,Madden NFL 11
523,EA Tiburon,Madden NFL 11
524,Electronic Arts,Madden NFL 11
525,EA Tiburon,Madden NFL 11
526,Blue Castle Games,Dead Rising 2: Case Zero
527,Nixxes Software,Kane & Lynch 2: Dog Days
528,Io Interactive,Kane & Lynch 2: Dog Days
529,Nitro Games,Commander: Conquest of the Americas
530,Ubisoft Montreal,Scott Pilgrim vs. the World: The Game
531,Uber Entertainment,Monday Night Combat
532,Cing,Monster Rancher DS
533,Nixxes Software,Kane & Lynch 2: Dog Days
534,Io Interactive,Kane & Lynch 2: Dog Days
535,Nixxes Software,Kane & Lynch 2: Dog Days
536,Io Interactive,Kane & Lynch 2: Dog Days
537,Paradox Development Studio,Victoria II
538,Virtual Programming,Victoria II
539,Square Enix,Lara Croft and the Guardian of Light
540,Nixxes Software,Lara Croft and the Guardian of Light
541,Crystal Dynamics,Lara Croft and the Guardian of Light
542,2K Czech,Mafia II
543,Point of View,TNA Impact: Cross the Line
544,Electronic Arts,Madden NFL 11
545,EA Tiburon,Madden NFL 11
546,2K Czech,Mafia II
547,2K Czech,Mafia II
548,Infinite Interactive,Puzzle Quest 2
549,Paramount Digital Entertainment,Top Gun (2010)
550,Doublesix,Top Gun (2010)
551,Falcom,Ys Seven
552,Klei Entertainment,Shank
553,Klei Entertainment,Shank
554,Ubisoft Montreal,Scott Pilgrim vs. the World: The Game
555,Team Ninja,Metroid: Other M
556,Prope,Ivy the Kiwi?
557,Team 17,Worms 2: Armageddon
558,Visual Concepts,NHL 2K11
559,Invent4 Entertainment,Razor 2: Hidden Skies
560,SCEA,Sports Champions
561,Zindagi Games,Sports Champions
562,Square Enix,Kingdom Hearts: Birth by Sleep
563,SCE Japan Studio,Kung Fu Rider
564,Big Ant Studios,Rugby League Live
565,Stardock,Elemental: War of Magic
566,Big Ant Studios,Rugby League Live
567,Sega,Valkyria Chronicles II
568,Project Aces ,Ace Combat: Joint Assault
569,SuperMassive Games,Start the Party!
570,EA Sports,NHL Slapshot
571,Electronic Arts,NHL 11
572,Electronic Arts,NHL 11
573,BioWare,Dragon Age: Origins
574,WayForward,Batman: The Brave and the Bold - The Videogame
575,Griptonite Games,Spider-Man: Shattered Dimensions
576,Beenox,Spider-Man: Shattered Dimensions
577,BioWare,Mass Effect 2
578,BioWare,Mass Effect 2
579,BioWare,Dragon Age: Origins
580,BioWare,Dragon Age: Origins
581,Ubisoft,Tom Clancy's HAWX 2
582,The Behemoth,Castle Crashers
583,SCEE London Studio,EyePet: Move Edition
584,WayForward,Batman: The Brave and the Bold - The Videogame
585,Level 5,Professor Layton and the Unwound Future
586,Ubisoft,Tom Clancy's HAWX 2
587,Eugen Systems,R.U.S.E.
588,Eugen Systems,R.U.S.E.
589,Bungie Software,Halo: Reach
590,Certain Affinity,Halo: Reach
591,343 Industries,Halo: Reach
592,PopCap,Plants vs. Zombies
593,TOSE,Plants vs. Zombies
594,Eugen Systems,R.U.S.E.
595,Creat Studios,TerRover
596,2K Czech,Mafia II
597,2K Czech,Mafia II
598,Headstrong Games,The Lord of the Rings: Aragorn's Quest
599,TT Fusion,The Lord of the Rings: Aragorn's Quest
600,Asobo Studio,Racquet Sports
601,Tantatus,Legend of the Guardians: The Owls of Ga'Hoole
602,Krome Studios,Legend of the Guardians: The Owls of Ga'Hoole
603,Tantatus,Legend of the Guardians: The Owls of Ga'Hoole
604,Krome Studios,Legend of the Guardians: The Owls of Ga'Hoole
605,Katauri Interactive,King's Bounty: Crossworlds
606,Hothead Games,DeathSpank: Thongs of Virtue
607,Taito Corporation,Space Invaders Infinity Gene
608,Taito Corporation,Space Invaders Infinity Gene
609,Firaxis Games,Sid Meier's Civilization V
610,2K Games,Sid Meier's Civilization V
611,SuperMassive Games,Tumble
612,Codemasters Birmingham,F1 2010
613,Griptonite Games,Spider-Man: Shattered Dimensions
614,Beenox,Spider-Man: Shattered Dimensions
615,Blue Castle Games,Dead Rising 2
616,Konami,Pro Evolution Soccer 2011
617,"Konami Mobile & Online, Inc.",Pro Evolution Soccer 2011
618,Codemasters Birmingham,F1 2010
619,Blue Castle Games,Dead Rising 2
620,Krome Studios,Blade Kitten
621,Acquire,Gladiator Begins
622,Kaiko,Darksiders
623,Vigil Games,Darksiders
624,Nordic Games Publishing,Darksiders
625,Mercury Steam,Castlevania: Lords of Shadow
626,Mercury Steam,Castlevania: Lords of Shadow
627,Firemint Pty Ltd,Flight Control HD
628,Gearbox Software,Borderlands
629,EA Sports,FIFA Soccer 11
630,Electronic Arts,FIFA Soccer 11
631,Omega Force,Samurai Warriors 3
632,Square Enix,Lara Croft and the Guardian of Light
633,Nixxes Software,Lara Croft and the Guardian of Light
634,Crystal Dynamics,Lara Croft and the Guardian of Light
635,Square Enix,Lara Croft and the Guardian of Light
636,Nixxes Software,Lara Croft and the Guardian of Light
637,Crystal Dynamics,Lara Croft and the Guardian of Light
638,Ninja Theory,Enslaved: Odyssey to the West
639,Frictional Games,Amnesia: The Dark Descent
