,Game Title,Genre
1350,Tom Clancy's HAWX 2,Flight
1351,Tom Clancy's HAWX 2,Simulation
1352,Disney Epic Mickey,Platformer
1353,Disney Epic Mickey,Action
1354,Disney Epic Mickey,3D
1355,Mafia II,Action
1356,Mafia II,Adventure
1357,Mafia II,Action
1358,Mafia II,Adventure
1359,Dead Nation,Fixed-Screen
1360,Dead Nation,Shooter
1361,Dead Nation,2D
1362,Dead Nation,Action
1363,Get Fit With Mel B,Fitness
1364,Call of Duty: Black Ops,3D
1365,Call of Duty: Black Ops,Action
1366,Call of Duty: Black Ops,First-Person
1367,Call of Duty: Black Ops,Shooter
1368,Golden Sun: Dark Dawn,Role-Playing
1369,PDC World Championship Darts: Pro Tour,Sports
1370,nail'd,Arcade
1371,nail'd,Driving/Racing
1372,Dead Rising 2,Adventure
1373,Dead Rising 2,Action
1374,nail'd,Arcade
1375,nail'd,Driving/Racing
1376,Create,Puzzle
1377,Create,Puzzle
1378,Create,Puzzle
1379,"Nine Hours, Nine Persons, Nine Doors",Adventure
1380,Cabela's Dangerous Hunts 2011,Hunting/Fishing
1381,Cabela's Dangerous Hunts 2011,Sports
1382,Cabela's Dangerous Hunts 2011,Hunting/Fishing
1383,Cabela's Dangerous Hunts 2011,Sports
1384,Cabela's Dangerous Hunts 2011,Sports
1385,Cabela's Dangerous Hunts 2011,Hunting/Fishing
1386,Ys: The Oath in Felghana,Action
1387,Ys: The Oath in Felghana,Role-Playing
1388,Majesty 2: The Fantasy Kingdom Sim,Strategy
1389,Unbound Saga,2D
1390,Unbound Saga,Action
1391,Unbound Saga,Beat-'Em-Up
1392,Bejeweled 3,Matching/Stacking
1393,Bejeweled 3,Puzzle
1394,ilomilo,Puzzle
1395,ilomilo,Action
1396,Michael Jackson The Experience,Music/Rhythm
1397,Super Meat Boy,Action
1398,Super Meat Boy,Platformer
1399,Super Meat Boy,2D
1400,TRON: Evolution,Action
1401,TRON: Evolution,Adventure
1402,TRON: Evolution,Adventure
1403,TRON: Evolution,Action
1404,Kung-Fu Live,Action
1405,Kung-Fu Live,Fighting
1406,Kung-Fu Live,3D
1407,Rabbids Travel in Time 3D,Action
1408,Rabbids Travel in Time 3D,2D
1409,Rabbids Travel in Time 3D,Platformer
1410,The Sims 3,Simulation
1411,Pictionary,Trivia/Board Game
1412,Star Wars: The Force Unleashed II,Action
1413,Funky Lab Rat,2D
1414,Funky Lab Rat,Action
1415,Funky Lab Rat,Platformer
1416,Bomberman Live: Battlefest,Action
1417,Bomberman Live: Battlefest,Puzzle
1418,World of Warcraft,Action
1419,World of Warcraft,Role-Playing
1420,World of Warcraft,MMO
1421,World of Warcraft,Open-World
1422,World of Warcraft,Adventure
1423,World of Warcraft,Third-Person
1424,Rock Band 3,Music/Rhythm
1425,Def Jam Rapstar,Music/Rhythm
1426,Battlefield: Bad Company 2,Shooter
1427,Battlefield: Bad Company 2,3D
1428,Battlefield: Bad Company 2,Action
1429,Battlefield: Bad Company 2,First-Person
1430,echochrome ii,Puzzle
1431,echochrome ii,Action
1432,Battlefield: Bad Company 2,Action
1433,Battlefield: Bad Company 2,First-Person
1434,Battlefield: Bad Company 2,Shooter
1435,Battlefield: Bad Company 2,3D
1436,Eat Them!,Action
1437,Deadliest Catch: Sea of Chaos,Hunting/Fishing
1438,Deadliest Catch: Sea of Chaos,Sports
1439,Deadliest Catch: Sea of Chaos,Hunting/Fishing
1440,Deadliest Catch: Sea of Chaos,Sports
1441,Deadliest Catch: Sea of Chaos,Hunting/Fishing
1442,Deadliest Catch: Sea of Chaos,Sports
1443,Raskulls,Puzzle
1444,Raskulls,Action
1445,Back to the Future: The Game,Third-Person
1446,Back to the Future: The Game,3D
1447,Back to the Future: The Game,Adventure
1448,Dead Rising 2: Case West,Open-World
1449,Dead Rising 2: Case West,3D
1450,Dead Rising 2: Case West,Action
1451,Dead Rising 2: Case West,Adventure
1452,Fallout: New Vegas,Role-Playing
1453,A World of Keflings,Strategy
1454,BioShock 2,First-Person
1455,BioShock 2,Shooter
1456,BioShock 2,3D
1457,BioShock 2,Action
1458,BioShock 2,3D
1459,BioShock 2,Action
1460,BioShock 2,First-Person
1461,BioShock 2,Shooter
1462,MicroBot,2D
1463,MicroBot,Action
1464,MicroBot,Fixed-Screen
1465,MicroBot,Shooter
1466,MicroBot,2D
1467,MicroBot,Action
1468,MicroBot,Fixed-Screen
1469,MicroBot,Shooter
1470,Lost in Shadow,Action
1471,Lost in Shadow,2D
1472,Lost in Shadow,Platformer
1473,Ghost Trick: Phantom Detective,Adventure
1474,Kingdom Hearts Re:coded,Role-Playing
1475,Kingdom Hearts Re:coded,Action
1476,Tetris (2009),Matching/Stacking
1477,Tetris (2009),Puzzle
1478,"Prinny 2: Dawn of Operation Panties, Dood!",2D
1479,"Prinny 2: Dawn of Operation Panties, Dood!",Platformer
1480,"Prinny 2: Dawn of Operation Panties, Dood!",Action
1481,LittleBigPlanet 2,3D
1482,LittleBigPlanet 2,Platformer
1483,LittleBigPlanet 2,Action
1484,Mass Effect 2,Role-Playing
1485,Mass Effect 2,Action
1486,Zeit Squared,2D
1487,Zeit Squared,Action
1488,Zeit Squared,Shooter
1489,Zeit Squared,2D
1490,Zeit Squared,Action
1491,Zeit Squared,Shooter
1492,Plants vs. Zombies,Real-Time
1493,Plants vs. Zombies,Strategy
1494,Dead Space 2,Third-Person
1495,Dead Space 2,3D
1496,Dead Space 2,Action
1497,Dead Space 2,Shooter
1498,Fluidity,2D
1499,Fluidity,Platformer
1500,Fluidity,Action
1501,Modern Combat: Domination,Action
1502,Modern Combat: Domination,First-Person
1503,Modern Combat: Domination,Shooter
1504,Modern Combat: Domination,Tactical
1505,DC Universe Online,Role-Playing
1506,DC Universe Online,MMO
1507,DC Universe Online,MMO
1508,DC Universe Online,Role-Playing
1509,Dead Space 2,Shooter
1510,Dead Space 2,Third-Person
1511,Dead Space 2,3D
1512,Dead Space 2,Action
1513,Spare Parts,Action
1514,Spare Parts,Action
1515,Venetica,Role-Playing
1516,Venetica,Role-Playing
1517,Mindjack,3D
1518,Mindjack,Action
1519,Mindjack,Shooter
1520,Mindjack,Third-Person
1521,Mindjack,3D
1522,Mindjack,Action
1523,Mindjack,Shooter
1524,Mindjack,Third-Person
1525,Dead Space 2,Third-Person
1526,Dead Space 2,3D
1527,Dead Space 2,Action
1528,Dead Space 2,Shooter
1529,Emergency 2012,Action
1530,Venetica,Role-Playing
1531,Monday Night Combat,Team-Based
1532,Monday Night Combat,Action
1533,Monday Night Combat,Shooter
1534,Monday Night Combat,Third-Person
1535,Monday Night Combat,3D
1536,Breach,First-Person
1537,Breach,Shooter
1538,Breach,Tactical
1539,Breach,Action
1540,Breach,First-Person
1541,Breach,Shooter
1542,Breach,Tactical
1543,Breach,Action
1544,Magicka,Action
1545,Magicka,Adventure
1546,Two Worlds II,Action
1547,Two Worlds II,Role-Playing
1548,Two Worlds II,Action
1549,Two Worlds II,Role-Playing
1550,Jolly Rover,Adventure
1551,Majesty 2: The Fantasy Kingdom Sim,Strategy
1552,Dungeons,Strategy
1553,Two Worlds II,Action
1554,Two Worlds II,Role-Playing
1555,Killzone 3,First-Person
1556,Killzone 3,Shooter
1557,Killzone 3,3D
1558,Killzone 3,Action
1559,Bionic Commando Rearmed 2,Platformer
1560,Bionic Commando Rearmed 2,Action
1561,Bionic Commando Rearmed 2,2D
1562,Bionic Commando Rearmed 2,2D
1563,Bionic Commando Rearmed 2,Platformer
1564,Bionic Commando Rearmed 2,Action
1565,Naruto Shippuden: Shinobi Rumble,Action
1566,Stacking,Action
1567,Stacking,Puzzle
1568,You Don't Know Jack (2011),Trivia/Board Game
1569,Mario Sports Mix,Sports
1570,Stacking,Puzzle
1571,Stacking,Action
1572,You Don't Know Jack (2011),Trivia/Board Game
1573,You Don't Know Jack (2011),Trivia/Board Game
1574,You Don't Know Jack (2011),Trivia/Board Game
1575,Tactics Ogre: Let Us Cling Together,Strategy
1576,Tactics Ogre: Let Us Cling Together,Turn-Based
1577,Test Drive Unlimited 2,Driving/Racing
1578,Test Drive Unlimited 2,Arcade
1579,Body and Brain Connection,Puzzle
1580,Marvel vs. Capcom 3: Fate of Two Worlds,Fighting
1581,Marvel vs. Capcom 3: Fate of Two Worlds,Action
1582,Marvel vs. Capcom 3: Fate of Two Worlds,2D
1583,Marvel vs. Capcom 3: Fate of Two Worlds,Fighting
1584,Marvel vs. Capcom 3: Fate of Two Worlds,Action
1585,Marvel vs. Capcom 3: Fate of Two Worlds,2D
1586,Explodemon,Action
1587,Explodemon,Platformer
1588,Explodemon,2D
1589,Hard Corps: Uprising,Shoot-'Em-Up
1590,Hard Corps: Uprising,Action
1591,Hard Corps: Uprising,2D
1592,TNT Racers,Arcade
1593,TNT Racers,Driving/Racing
1594,Lord of Arcana,Action
1595,Lord of Arcana,Role-Playing
1596,Gods Eater Burst,Role-Playing
1597,Gods Eater Burst,Action
1598,Tales From Space: About a Blob,2D
1599,Tales From Space: About a Blob,Platformer
1600,Tales From Space: About a Blob,Action
1601,Trinity: Souls of Zill O'll,Role-Playing
1602,Trinity: Souls of Zill O'll,Action
1603,Bulletstorm,3D
1604,Bulletstorm,Action
1605,Bulletstorm,First-Person
1606,Bulletstorm,Shooter
1607,Bulletstorm,Shooter
1608,Bulletstorm,Action
1609,Bulletstorm,3D
1610,Bulletstorm,First-Person
1611,Bulletstorm,First-Person
1612,Bulletstorm,Shooter
1613,Bulletstorm,3D
1614,Bulletstorm,Action
1615,Radiant Historia,Role-Playing
1616,Fallout: New Vegas,Role-Playing
1617,de Blob 2,Platformer
1618,de Blob 2,3D
1619,de Blob 2,Action
1620,de Blob 2,Action
1621,de Blob 2,3D
1622,de Blob 2,Platformer
1623,de Blob 2,3D
1624,de Blob 2,Action
1625,de Blob 2,Platformer
1626,Gray Matter,Adventure
1627,Gray Matter,Adventure
1628,Back to the Future: The Game,Third-Person
1629,Back to the Future: The Game,3D
1630,Back to the Future: The Game,Adventure
1631,de Blob 2,Platformer
1632,de Blob 2,3D
1633,de Blob 2,Action
1634,Knights Contract,Adventure
1635,Knights Contract,Action
1636,Knights Contract,Adventure
1637,Knights Contract,Action
1638,Fallout: New Vegas,Role-Playing
1639,Hyperdimension Neptunia,Role-Playing
1640,Fight Night Champion,Sports
1641,Fight Night Champion,Boxing
1642,PixelJunk Shooter 2,2D
1643,PixelJunk Shooter 2,Action
1644,PixelJunk Shooter 2,Fixed-Screen
1645,PixelJunk Shooter 2,Shooter
1646,Fight Night Champion,Sports
1647,Fight Night Champion,Boxing
1648,Dragon Age II,Role-Playing
1649,Dragon Age II,Action
1650,Cities in Motion,Simulation
1651,Pokemon Black/White Version,Role-Playing
1652,Pokemon Black/White Version,Management
1653,Acceleration of SUGURI X-Edition,2D
1654,Acceleration of SUGURI X-Edition,Action
1655,Acceleration of SUGURI X-Edition,Fighting
1656,Dragon Age II,Role-Playing
1657,Dragon Age II,Action
1658,Dragon Age II,Action
1659,Dragon Age II,Role-Playing
1660,Dead Space 2,Action
1661,Dead Space 2,Third-Person
1662,Dead Space 2,Shooter
1663,Dead Space 2,3D
1664,Dead Space 2,Shooter
1665,Dead Space 2,Action
1666,Dead Space 2,Third-Person
1667,Dead Space 2,3D
1668,Rango (2011),Open-World
1669,Rango (2011),3D
1670,Rango (2011),Action
1671,Rango (2011),Adventure
1672,Rango (2011),Adventure
1673,Rango (2011),Open-World
1674,Rango (2011),3D
1675,Rango (2011),Action
1676,Pokemon Black/White Version,Role-Playing
1677,Pokemon Black/White Version,Management
1678,Torchlight,Role-Playing
1679,Torchlight,Action
1680,Fable III,Role-Playing
1681,"Warhammer 40,000: Dawn of War II - Retribution",Real-Time
1682,"Warhammer 40,000: Dawn of War II - Retribution",Strategy
1683,Back to the Future: The Game,Third-Person
1684,Back to the Future: The Game,3D
1685,Back to the Future: The Game,Adventure
1686,MotorStorm: Apocalypse,Driving/Racing
1687,MotorStorm: Apocalypse,Simulation
1688,Assassin's Creed: Brotherhood,Action
1689,Assassin's Creed: Brotherhood,Adventure
1690,MLB 11: The Show,Baseball
1691,MLB 11: The Show,Simulation
1692,MLB 11: The Show,Sports
1693,MLB 11: The Show,Team-Based
1694,TrackMania: Build to Race,Arcade
1695,TrackMania: Build to Race,Driving/Racing
1696,Dissidia 012: Duodecim Final Fantasy,3D
1697,Dissidia 012: Duodecim Final Fantasy,Fighting
1698,Dissidia 012: Duodecim Final Fantasy,Action
1699,Okamiden,3D
1700,Okamiden,Action
1701,Okamiden,Adventure
1702,Okamiden,Open-World
1703,Dragon Quest VI,Role-Playing
1704,Full House Poker,Gambling
1705,Homefront,3D
1706,Homefront,Action
1707,Homefront,First-Person
1708,Homefront,Shooter
1709,Homefront,Shooter
1710,Homefront,3D
1711,Homefront,Action
1712,Homefront,First-Person
1713,Homefront,3D
1714,Homefront,Action
1715,Homefront,First-Person
1716,Homefront,Shooter
1717,MotoGP 10/11,Driving/Racing
1718,MotoGP 10/11,Arcade
1719,Total War: Shogun 2,Strategy
1720,Total War: Shogun 2,Turn-Based
1721,Steel Diver,Simulation
1722,Major League Baseball 2K11,Sports
1723,Major League Baseball 2K11,Team-Based
1724,Major League Baseball 2K11,Baseball
1725,Major League Baseball 2K11,Simulation
1726,Major League Baseball 2K11,Sports
1727,Major League Baseball 2K11,Team-Based
1728,Major League Baseball 2K11,Baseball
1729,Major League Baseball 2K11,Simulation
1730,MotoGP 10/11,Arcade
1731,MotoGP 10/11,Driving/Racing
1732,Super Monkey Ball 3D,Action
1733,Crysis 2,First-Person
1734,Crysis 2,Shooter
1735,Crysis 2,3D
1736,Crysis 2,Action
1737,Rift,MMO
1738,Rift,Role-Playing
1739,Rift,Free-to-Play
1740,Battle: Los Angeles,3D
1741,Battle: Los Angeles,Action
1742,Battle: Los Angeles,First-Person
1743,Battle: Los Angeles,Shooter
1744,Yakuza 4,Adventure
1745,Yakuza 4,Action
1746,Major League Baseball 2K11,Baseball
1747,Major League Baseball 2K11,Simulation
1748,Major League Baseball 2K11,Sports
1749,Major League Baseball 2K11,Team-Based
1750,Top Spin 4,Sports
1751,Top Spin 4,Tennis
1752,Top Spin 4,Tennis
1753,Top Spin 4,Sports
1754,Pilotwings Resort,Simulation
1755,Pilotwings Resort,Flight
1756,Slam Bolt Scrappers,2D
1757,Slam Bolt Scrappers,Action
1758,Slam Bolt Scrappers,Beat-'Em-Up
1759,Top Spin 4,Sports
1760,Top Spin 4,Tennis
1761,Crysis 2,Action
1762,Crysis 2,3D
1763,Crysis 2,First-Person
1764,Crysis 2,Shooter
1765,The 3rd Birthday,Third-Person
1766,The 3rd Birthday,3D
1767,The 3rd Birthday,Action
1768,The 3rd Birthday,Shooter
1769,Crysis 2,3D
1770,Crysis 2,Action
1771,Crysis 2,First-Person
1772,Crysis 2,Shooter
1773,LEGO Star Wars III: The Clone Wars,Adventure
1774,LEGO Star Wars III: The Clone Wars,Action
1775,Tom Clancy's Splinter Cell: Chaos Theory,Action
1776,Tom Clancy's Splinter Cell: Chaos Theory,Adventure
1777,Super Street Fighter IV,Fighting
1778,Super Street Fighter IV,Action
1779,Super Street Fighter IV,2D
1780,Pro Evolution Soccer 2011,Simulation
1781,Pro Evolution Soccer 2011,Soccer
1782,Pro Evolution Soccer 2011,Sports
1783,Pro Evolution Soccer 2011,Team-Based
1784,TNT Racers,Driving/Racing
1785,TNT Racers,Arcade
1786,Nintendogs + Cats,Strategy
1787,Nintendogs + Cats,Simulation
1788,Tom Clancy's Ghost Recon: Shadow Wars,Turn-Based
1789,Tom Clancy's Ghost Recon: Shadow Wars,Strategy
1790,Nintendogs + Cats,Strategy
1791,Nintendogs + Cats,Simulation
1792,Nintendogs + Cats,Strategy
1793,Nintendogs + Cats,Simulation
1794,Post Apocalyptic Mayhem,Simulation
1795,Assassin's Creed: Brotherhood,Action
1796,Assassin's Creed: Brotherhood,Adventure
1797,Hard Corps: Uprising,2D
1798,Hard Corps: Uprising,Shoot-'Em-Up
1799,Hard Corps: Uprising,Action
1800,MLB 11: The Show,Team-Based
1801,MLB 11: The Show,Baseball
1802,MLB 11: The Show,Simulation
1803,MLB 11: The Show,Sports
1804,Asphalt 3D,Driving/Racing
1805,Asphalt 3D,Arcade
1806,Ghostbusters: Sanctum of Slime,Action
1807,Ghostbusters: Sanctum of Slime,Adventure
1808,The Sims 3,Simulation
1809,Bust-A-Move Universe,Puzzle
1810,Ghostbusters: Sanctum of Slime,Action
1811,Ghostbusters: Sanctum of Slime,Adventure
1812,Ghostbusters: Sanctum of Slime,Action
1813,Ghostbusters: Sanctum of Slime,Adventure
1814,Mass Effect 2,Role-Playing
1815,Mass Effect 2,Action
1816,Mass Effect 2,Role-Playing
1817,Mass Effect 2,Action
1818,Shift 2: Unleashed,Simulation
1819,Shift 2: Unleashed,Driving/Racing
1820,LEGO Star Wars III: The Clone Wars,Adventure
1821,LEGO Star Wars III: The Clone Wars,Action
1822,Swarm,Miscellaneous
1823,LEGO Star Wars III: The Clone Wars,Adventure
1824,LEGO Star Wars III: The Clone Wars,Action
1825,LEGO Star Wars III: The Clone Wars,Adventure
1826,LEGO Star Wars III: The Clone Wars,Action
1827,LEGO Star Wars III: The Clone Wars,Action
1828,LEGO Star Wars III: The Clone Wars,Adventure
1829,Swarm,Miscellaneous
1830,Shift 2: Unleashed,Driving/Racing
1831,Shift 2: Unleashed,Simulation
1832,Tiger Woods PGA Tour 12: The Masters,Golf
1833,Tiger Woods PGA Tour 12: The Masters,Simulation
1834,Tiger Woods PGA Tour 12: The Masters,Sports
1835,Samurai Warriors Chronicles,Action
1836,Samurai Warriors Chronicles,2D
1837,Samurai Warriors Chronicles,Beat-'Em-Up
1838,WWE All Stars,Action
1839,WWE All Stars,Fighting
1840,WWE All Stars,Wrestling
1841,WWE All Stars,Action
1842,WWE All Stars,Wrestling
1843,WWE All Stars,Fighting
1844,WWE All Stars,Action
1845,WWE All Stars,Fighting
1846,WWE All Stars,Wrestling
1847,Tiger Woods PGA Tour 12: The Masters,Sports
1848,Tiger Woods PGA Tour 12: The Masters,Golf
1849,Tiger Woods PGA Tour 12: The Masters,Simulation
1850,Rayman 2: The Great Escape,Action
1851,Rayman 2: The Great Escape,3D
1852,Rayman 2: The Great Escape,Platformer
1853,NASCAR 2011: The Game,Simulation
1854,NASCAR 2011: The Game,Driving/Racing
1855,Monster Tale,2D
1856,Monster Tale,Action
1857,Monster Tale,Platformer
1858,NASCAR 2011: The Game,Driving/Racing
1859,NASCAR 2011: The Game,Simulation
1860,Ridge Racer 3D,Driving/Racing
1861,Ridge Racer 3D,Arcade
1862,Tiger Woods PGA Tour 12: The Masters,Simulation
1863,Tiger Woods PGA Tour 12: The Masters,Sports
1864,Tiger Woods PGA Tour 12: The Masters,Golf
1865,The Dishwasher: Vampire Smile,Beat-'Em-Up
1866,The Dishwasher: Vampire Smile,Action
1867,PlayStation Move Heroes,Action
1868,PlayStation Move Heroes,3D
1869,PlayStation Move Heroes,Platformer
1870,Islands of Wakfu,Adventure
1871,Islands of Wakfu,Open-World
1872,Islands of Wakfu,3D
1873,Islands of Wakfu,Action
1874,Madden NFL Football,Sports
1875,Madden NFL Football,Team-Based
1876,Madden NFL Football,Football (American)
1877,Madden NFL Football,Simulation
1878,Strania,Action
1879,Strania,Shoot-'Em-Up
1880,Strania,2D
1881,Castlevania: Lords of Shadow,Action
1882,Castlevania: Lords of Shadow,Adventure
1883,Shadow Harvest: Phantom Ops,Shooter
1884,Shadow Harvest: Phantom Ops,Tactical
1885,Shadow Harvest: Phantom Ops,Third-Person
1886,Shadow Harvest: Phantom Ops,Action
1887,Moon Diver,Action
1888,Moon Diver,2D
1889,Moon Diver,Beat-'Em-Up
1890,Stacking,Action
1891,Stacking,Puzzle
1892,Stacking,Action
1893,Stacking,Puzzle
1894,The Sims Medieval,Simulation
1895,Red Faction: Battlegrounds,Third-Person
1896,Red Faction: Battlegrounds,3D
1897,Red Faction: Battlegrounds,Action
1898,Red Faction: Battlegrounds,Shooter
1899,SOCOM 4: U.S. Navy SEALs,3D
1900,SOCOM 4: U.S. Navy SEALs,Action
1901,SOCOM 4: U.S. Navy SEALs,Shooter
1902,SOCOM 4: U.S. Navy SEALs,Third-Person
1903,Michael Jackson The Experience,Music/Rhythm
1904,Might & Magic: Clash of Heroes,Role-Playing
1905,Rio,Miscellaneous
1906,Might & Magic: Clash of Heroes,Role-Playing
1907,WSC Real 11: World Snooker Championship,Sports
1908,Patapon 3,Action
1909,StarDrone,Action
1910,Michael Jackson The Experience,Music/Rhythm
1911,IL-2 Sturmovik: Cliffs of Dover,Simulation
1912,IL-2 Sturmovik: Cliffs of Dover,Flight
1913,Anomaly: Warzone Earth,Real-Time
1914,Anomaly: Warzone Earth,Strategy
1915,Magicka,Adventure
1916,Magicka,Action
1917,Mortal Kombat (2011),Action
1918,Mortal Kombat (2011),2D
1919,Mortal Kombat (2011),Fighting
1920,Portal 2,First-Person
1921,Portal 2,Shooter
1922,Portal 2,3D
1923,Portal 2,Action
1924,WSC Real 11: World Snooker Championship,Sports
1925,Portal 2,Shooter
1926,Portal 2,3D
1927,Portal 2,Action
1928,Portal 2,First-Person
1929,Section 8: Prejudice,Action
1930,Section 8: Prejudice,First-Person
1931,Section 8: Prejudice,Shooter
1932,Section 8: Prejudice,3D
1933,Mortal Kombat (2011),Action
1934,Mortal Kombat (2011),2D
1935,Mortal Kombat (2011),Fighting
1936,Portal 2,Shooter
1937,Portal 2,3D
1938,Portal 2,Action
1939,Portal 2,First-Person
1940,Dungeon Hunter: Alliance,Role-Playing
1941,Dungeon Hunter: Alliance,Action
1942,Combat of Giants: Dinosaurs 3D,Adventure
1943,Combat of Giants: Dinosaurs 3D,Action
1944,The Next Big Thing,Adventure
1945,Yar's Revenge,Fixed-Screen
1946,Yar's Revenge,Shooter
1947,Yar's Revenge,2D
1948,Yar's Revenge,Action
1949,Conduit 2,3D
1950,Conduit 2,Action
1951,Conduit 2,First-Person
1952,Conduit 2,Shooter
1953,The Fancy Pants Adventures,Action
1954,The Fancy Pants Adventures,Platformer
1955,The Fancy Pants Adventures,2D
1956,Rabbids Travel in Time 3D,Action
1957,Rabbids Travel in Time 3D,2D
1958,Rabbids Travel in Time 3D,Platformer
1959,Operation Flashpoint: Red River,Action
1960,Operation Flashpoint: Red River,First-Person
1961,Operation Flashpoint: Red River,Shooter
1962,Operation Flashpoint: Red River,3D
1963,Cargo! The Quest for Gravity,Action
1964,Cargo! The Quest for Gravity,Adventure
1965,Outland,Platformer
1966,Outland,2D
1967,Outland,Action
1968,Final Fantasy IV: The Complete Collection,Compilation
1969,Operation Flashpoint: Red River,Action
1970,Operation Flashpoint: Red River,First-Person
1971,Operation Flashpoint: Red River,Shooter
1972,Operation Flashpoint: Red River,3D
1973,Operation Flashpoint: Red River,Shooter
1974,Operation Flashpoint: Red River,3D
1975,Operation Flashpoint: Red River,Action
1976,Operation Flashpoint: Red River,First-Person
1977,Darkspore,Action
1978,Darkspore,Role-Playing
1979,Angry Birds,Action
1980,Angry Birds,Puzzle
1981,Nin2-Jump,Action
1982,Nin2-Jump,2D
1983,Nin2-Jump,Platformer
1984,Chaos Rings,Role-Playing
1985,Cut the Rope,Puzzle
1986,Doodle Jump,2D
1987,Doodle Jump,Action
1988,Doodle Jump,Platformer
1989,Gem Miner: Dig Deeper,Action
1990,Men of War: Assault Squad,Real-Time
1991,Men of War: Assault Squad,Strategy
1992,Your Doodles Are Bugged!,Action
1993,Your Doodles Are Bugged!,Puzzle
1994,Capsized,2D
1995,Capsized,Action
1996,Capsized,Platformer
1997,Section 8: Prejudice,First-Person
1998,Section 8: Prejudice,Shooter
1999,Section 8: Prejudice,3D
2000,Section 8: Prejudice,Action
2001,Sanctum,Shooter
2002,Sanctum,3D
2003,Sanctum,Action
2004,Sanctum,First-Person
2005,Thor: God of Thunder,Action
2006,Black Mirror III: Final Fear,3D
2007,Black Mirror III: Final Fear,Third-Person
2008,Black Mirror III: Final Fear,Adventure
2009,Hector: Badge of Carnage,Action
2010,Hector: Badge of Carnage,Adventure
2011,LEGO Pirates of the Caribbean: The Video Game,Adventure
2012,LEGO Pirates of the Caribbean: The Video Game,Action
2013,LEGO Pirates of the Caribbean: The Video Game,Adventure
2014,LEGO Pirates of the Caribbean: The Video Game,Action
2015,LEGO Pirates of the Caribbean: The Video Game,Adventure
2016,LEGO Pirates of the Caribbean: The Video Game,Action
2017,SBK 2011,Driving/Racing
2018,SBK 2011,Simulation
2019,Thor: God of Thunder,Action
2020,Bangai-O HD: Missile Fury,2D
2021,Bangai-O HD: Missile Fury,Action
2022,Bangai-O HD: Missile Fury,Shooter
2023,Thor: God of Thunder,Action
2024,Virtua Tennis 4,Tennis
2025,Virtua Tennis 4,Sports
2026,LEGO Pirates of the Caribbean: The Video Game,Adventure
2027,LEGO Pirates of the Caribbean: The Video Game,Action
2028,LEGO Pirates of the Caribbean: The Video Game,Adventure
2029,LEGO Pirates of the Caribbean: The Video Game,Action
2030,AFL Live,Sports
2031,AFL Live,Team-Based
2032,Brink,First-Person
2033,Brink,Shooter
2034,Brink,3D
2035,Brink,Action
2036,LEGO Pirates of the Caribbean: The Video Game,Adventure
2037,LEGO Pirates of the Caribbean: The Video Game,Action
2038,Virtua Tennis 4,Tennis
2039,Virtua Tennis 4,Sports
2040,Brink,3D
2041,Brink,Action
2042,Brink,First-Person
2043,Brink,Shooter
2044,Garshasp: The Monster Slayer,Open-World
2045,Garshasp: The Monster Slayer,3D
2046,Garshasp: The Monster Slayer,Action
2047,Garshasp: The Monster Slayer,Adventure
2048,Gatling Gears,2D
2049,Gatling Gears,Action
2050,Gatling Gears,Shoot-'Em-Up
2051,Hydrophobia Prophecy,Adventure
2052,Hydrophobia Prophecy,Survival
2053,Hydrophobia Prophecy,3D
2054,Hydrophobia Prophecy,Action
2055,Thor: God of Thunder,Action
2056,L.A. Noire,3D
2057,L.A. Noire,Third-Person
2058,L.A. Noire,Adventure
2059,Mount & Blade: With Fire & Sword,Role-Playing
2060,Mount & Blade: With Fire & Sword,MMO
2061,The Legend of Heroes: Trails in the Sky,Role-Playing
2062,L.A. Noire,Adventure
2063,L.A. Noire,3D
2064,L.A. Noire,Third-Person
2065,MX vs. ATV Alive,Arcade
2066,MX vs. ATV Alive,Driving/Racing
2067,MX vs. ATV Alive,Driving/Racing
2068,MX vs. ATV Alive,Arcade
2069,Brink,Shooter
2070,Brink,3D
2071,Brink,Action
2072,Brink,First-Person
2073,The First Templar,Open-World
2074,The First Templar,3D
2075,The First Templar,Action
2076,The First Templar,Adventure
2077,Star Raiders,Simulation
2078,Dream Trigger 3D,Action
2079,Dream Trigger 3D,Fixed-Screen
2080,Dream Trigger 3D,Shooter
2081,Dream Trigger 3D,2D
2082,SEGA Rally Online Arcade,Arcade
2083,SEGA Rally Online Arcade,Driving/Racing
2084,Dead or Alive: Dimensions,3D
2085,Dead or Alive: Dimensions,Fighting
2086,Dead or Alive: Dimensions,Action
2087,The Witcher 2: Assassins of Kings,Role-Playing
2088,The Witcher 2: Assassins of Kings,Action
2089,Fable III,Role-Playing
2090,AFL Live,Sports
2091,AFL Live,Team-Based
2092,DiRT 3,Simulation
2093,DiRT 3,Driving/Racing
2094,Faery: Legends of Avalon,Role-Playing
2095,NASCAR 2011: The Game,Driving/Racing
2096,NASCAR 2011: The Game,Simulation
2097,DreamWorks Kung Fu Panda 2,Action
2098,Fallout: New Vegas,Role-Playing
2099,LEGO Pirates of the Caribbean: The Video Game,Adventure
2100,LEGO Pirates of the Caribbean: The Video Game,Action
2101,Fallout: New Vegas,Role-Playing
2102,Dungeons & Dragons: Daggerdale,Role-Playing
2103,Dungeons & Dragons: Daggerdale,Action
2104,Alice: Madness Returns,Adventure
