,Game Title,Publisher
478,Blur,Mastertronic
479,Blur,Square Enix
480,Guns of Icarus,Muse Games
481,UFC Undisputed 2010,THQ Wireless
482,UFC Undisputed 2010,Yuke's
483,UFC Undisputed 2010,THQ
484,Bit.Trip Runner,Gaijin Games
485,Bit.Trip Runner,Aksys Games
486,Bit.Trip Runner,Arc System Works
487,UFC Undisputed 2010,THQ Wireless
488,UFC Undisputed 2010,THQ
489,UFC Undisputed 2010,Yuke's
490,Alpha Protocol,Sega
491,Alpha Protocol,Sega
492,Alpha Protocol,Sega
493,Naval Warfare,Just A Game
494,Naval Warfare,Microsoft Game Studios
495,Metal Slug XX,SNK Playmore
496,Metal Slug XX,ATLUS
497,Metal Slug XX,DHM Interactive
498,Blur,Activision
499,Blur,Mastertronic
500,Blur,Square Enix
501,Runaway: A Twist of Fate,Bulkypix
502,Runaway: A Twist of Fate,Focus Home Interactive
503,Runaway: A Twist of Fate,Ubisoft
504,Tropico 3,Feral Interactive
505,Tropico 3,Kalypso
506,Tropico 3,Zoo Corporation
507,Tropico 3,Russel
508,Doom II,Activision
509,Doom II,GT Interactive
510,Doom II,id Software
511,Doom II,Virgin Interactive
512,Doom II,Imagineer
513,Doom II,Bethesda Softworks
514,Tom Clancy's Splinter Cell: Conviction,Ubisoft
515,Backbreaker,505 Games
516,Record of Agarest War,HyperDevbox Japan
517,Record of Agarest War,Ghostlight
518,Record of Agarest War,Idea Factory
519,Record of Agarest War,CyberFront
520,Record of Agarest War,Midas Interactive Entertainment
521,Record of Agarest War,Compile Heart
522,Record of Agarest War,Aksys Games
523,Backbreaker,505 Games
524,Record of Agarest War,HyperDevbox Japan
525,Record of Agarest War,Ghostlight
526,Record of Agarest War,Idea Factory
527,Record of Agarest War,CyberFront
528,Record of Agarest War,Midas Interactive Entertainment
529,Record of Agarest War,Compile Heart
530,Record of Agarest War,Aksys Games
531,Tom Clancy's Splinter Cell: Conviction,Ubisoft
532,Snoopy Flying Ace,Microsoft Game Studios
533,Voodoo Dice,Ubisoft
534,Planet Minigolf,Zen Studios
535,The Sims 3,EA Games
536,The Sims 3,EA Mobile
537,The Sims 3,Electronic Arts
538,The Sims 3,Maxis
539,Hexyz Force,ATLUS
540,Plain Sight,Beatnik Games
541,Metal Gear Solid: Peace Walker,Konami
542,Disney/Pixar Toy Story 3,Disney Interactive Studios
543,ModNation Racers,SCEA
544,ModNation Racers,SCEE
545,ModNation Racers,SCEI
546,ModNation Racers,SCE Australia
547,Tiger Woods PGA Tour 11,Electronic Arts
548,Tiger Woods PGA Tour 11,EA Sports
549,Tiger Woods PGA Tour 11,Electronic Arts
550,Tiger Woods PGA Tour 11,EA Sports
551,Armored Core: Last Raven Portable,From Software
552,Tiger Woods PGA Tour 11,Electronic Arts
553,Tiger Woods PGA Tour 11,EA Sports
554,Jam with the Band,Nintendo
555,Joe Danger,Hello Games
556,Green Day: Rock Band,MTV Games
557,Green Day: Rock Band,MTV Games
558,Disney/Pixar Toy Story 3,Disney Interactive Studios
559,LEGO Harry Potter: Years 1-4,Warner Bros. Interactive Entertainment
560,LEGO Harry Potter: Years 1-4,Feral Interactive
561,LEGO Harry Potter: Years 1-4,Warner Bros. Interactive Entertainment
562,LEGO Harry Potter: Years 1-4,Feral Interactive
563,Naughty Bear,505 Games
564,Transformers: War for Cybertron,Activision
565,Transformers: War for Cybertron,Activision
566,LEGO Harry Potter: Years 1-4,Warner Bros. Interactive Entertainment
567,LEGO Harry Potter: Years 1-4,Feral Interactive
568,RISK: Factions,Electronic Arts
569,Earthworm Jim HD,Gameloft
570,Singularity,Activision
571,Singularity,Mastertronic
572,Singularity,Square Enix
573,Trinity Universe,CyberFront
574,Trinity Universe,Nippon Ichi Software
575,Trinity Universe,NIS America
576,Singularity,Activision
577,Singularity,Mastertronic
578,Singularity,Square Enix
579,Monster Racers,Koei
580,Monster Racers,UFO Interactive
581,Puzzle Quest 2,D3Publisher
582,Puzzle Quest 2,Namco Bandai Games
583,Puzzle Quest 2,Namco Networks America
584,Mass Effect 2,Electronic Arts
585,Mass Effect 2,EA Games
586,Mass Effect 2,ak tronic
587,Space Ark,Strawdog Studios
588,Tales of Monkey Island,Telltale Games
589,Tales of Monkey Island,Lace Mamba Global
590,Mass Effect 2,Electronic Arts
591,Mass Effect 2,EA Games
592,Mass Effect 2,ak tronic
593,Singularity,Activision
594,Singularity,Mastertronic
595,Singularity,Square Enix
596,Naughty Bear,505 Games
597,LEGO Harry Potter: Years 1-4,Warner Bros. Interactive Entertainment
598,LEGO Harry Potter: Years 1-4,Feral Interactive
599,Puzzle Agent,Telltale Games
600,Puzzle Agent,SCEI
601,Puzzle Quest 2,D3Publisher
602,Puzzle Quest 2,Namco Bandai Games
603,Puzzle Quest 2,Namco Networks America
604,Pure Futbol,Ubisoft
605,Making History II: The War of the World,Muzzy Lane Software
606,Making History II: The War of the World,Mamba Games
607,Hot Shots Tennis: Get a Grip,SCEI
608,Hot Shots Tennis: Get a Grip,SCE Australia
609,Hot Shots Tennis: Get a Grip,SCEE
610,Hot Shots Tennis: Get a Grip,SCEA
611,Metal Gear Solid: Touch,Konami
612,Minigore,Chillingo Ltd
613,Need for Speed Shift,Electronic Arts
614,Need for Speed Shift,Electronic Arts Nederland BV
615,Need for Speed Shift,EA Mobile
616,N.O.V.A. - Near Orbit Vanguard Alliance,Gameloft
617,Crackdown 2,Microsoft Game Studios
618,Ravensword: The Fallen King,Chillingo Ltd
619,Robo Defense,Lupis Labs
620,The Sims 3,EA Games
621,The Sims 3,EA Mobile
622,The Sims 3,Electronic Arts
623,The Sims 3,Maxis
624,Spider-Man Toxic City,Gameloft
625,The Simpsons Arcade Game,Konami
626,The Simpsons Arcade Game,Electronic Arts Nederland BV
627,The Simpsons Arcade Game,Electronic Arts
628,The Simpsons Arcade Game,EA Mobile
629,World Series of Poker Hold'em Legend,Glu Mobile
630,Wumpus,InspiringApps
631,Zombie Infection,Gameloft
632,Pure Futbol,Ubisoft
633,Tetris Party Deluxe,Majesco Games
634,Tetris Party Deluxe,Nintendo
635,Tetris Party Deluxe,Hudson
636,Tetris Party Deluxe,Nintendo
637,Tetris Party Deluxe,Majesco Games
638,Tetris Party Deluxe,Hudson
639,Dragon Ball: Origins 2,Namco Bandai Games
640,Dragon Ball: Origins 2,Bandai Namco Games
641,International Cricket 2010,Codemasters
642,Blue Dragon: Awakened Shadow,Bandai Namco Games
643,Blue Dragon: Awakened Shadow,D3Publisher
644,Blue Dragon: Awakened Shadow,Namco Bandai Games
645,Transformers: War for Cybertron,Activision
646,Age of Conan: Hyborian Adventures,SCi
647,Age of Conan: Hyborian Adventures,Eidos Interactive
648,Age of Conan: Hyborian Adventures,ak tronic
649,Age of Conan: Hyborian Adventures,Funcom
650,Sniper: Ghost Warrior,City Interactive
651,Sniper: Ghost Warrior,CyberFront
652,Sniper: Ghost Warrior,Ubisoft
653,APB,Electronic Arts
654,Tournament of Legends,Sega Europe
655,Tournament of Legends,Sega
656,Monkey Island 2: LeChuck's Revenge,Kixx
657,Monkey Island 2: LeChuck's Revenge,LucasArts
